Date,BTC,DXY,ETH,GOLD,SP500,NASDAQ,US10Y
2018-01-02,14982.099609375,91.8499984741211,884.4439697265625,1313.699951171875,2695.81005859375,6511.33984375,2.4649999141693115
2018-01-03,15201.0,92.16000366210938,962.719970703125,1316.199951171875,2713.06005859375,6575.7998046875,2.447000026702881
2018-01-04,15599.2001953125,91.8499984741211,980.9219970703125,1319.4000244140625,2723.989990234375,6584.580078125,2.453000068664551
2018-01-05,17429.5,91.94999694824219,997.719970703125,1320.300048828125,2743.14990234375,6653.2900390625,2.4760000705718994
2018-01-06,17527.0,91.94999694824219,1041.6800537109375,1320.300048828125,2743.14990234375,6653.2900390625,2.4760000705718994
2018-01-07,16477.599609375,91.94999694824219,1153.1700439453125,1320.300048828125,2743.14990234375,6653.2900390625,2.4760000705718994
2018-01-08,15170.099609375,92.33000183105469,1148.530029296875,1318.5999755859375,2747.7099609375,6676.6298828125,2.4800000190734863
2018-01-09,14595.400390625,92.52999877929688,1299.739990234375,1311.699951171875,2751.2900390625,6677.93994140625,2.5460000038146973
2018-01-10,14973.2998046875,92.33000183105469,1255.8199462890625,1317.4000244140625,2748.22998046875,6662.66015625,2.549999952316284
2018-01-11,13405.7998046875,91.8499984741211,1154.9300537109375,1320.5999755859375,2767.56005859375,6708.490234375,2.5309998989105225
2018-01-12,13980.599609375,90.97000122070312,1273.199951171875,1333.4000244140625,2786.239990234375,6758.5400390625,2.552000045776367
2018-01-13,14360.2001953125,90.97000122070312,1396.4200439453125,1333.4000244140625,2786.239990234375,6758.5400390625,2.552000045776367
2018-01-14,13772.0,90.97000122070312,1366.77001953125,1333.4000244140625,2786.239990234375,6758.5400390625,2.552000045776367
2018-01-15,13819.7998046875,90.97000122070312,1291.9200439453125,1333.4000244140625,2786.239990234375,6758.5400390625,2.552000045776367
2018-01-16,11490.5,90.38999938964844,1053.68994140625,1335.4000244140625,2776.419921875,6737.14013671875,2.5439999103546143
2018-01-17,11188.599609375,90.54000091552734,1014.25,1338.0,2802.56005859375,6810.27978515625,2.578000068664551
2018-01-18,11474.900390625,90.5,1036.280029296875,1326.0,2798.030029296875,6811.3798828125,2.6110000610351562
